Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
hyland,Hyland,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HYLAND,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hyland-B-H.jpg,1,Hyland,false,Hyland,Imported product — review before publishing.,g,,unlisted
jackson,Jackson,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-JACKSON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/jackson-B-H.jpg,1,Jackson,false,Jackson,Imported product — review before publishing.,g,,unlisted
johnston,Johnston,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-JOHNSTON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/johnston-B-H.jpg,1,Johnston,false,Johnston,Imported product — review before publishing.,g,,unlisted
jones,Jones,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-JONES,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/jones-B-H.jpg,1,Jones,false,Jones,Imported product — review before publishing.,g,,unlisted
joyce,Joyce,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-JOYCE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/joyce-B-H-1.jpg,1,Joyce,false,Joyce,Imported product — review before publishing.,g,,unlisted
kane,Kane,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-KANE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/kane-B-H.jpg,1,Kane,false,Kane,Imported product — review before publishing.,g,,unlisted
keane,Keane,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-KEANE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/keane-B-H.jpg,1,Keane,false,Keane,Imported product — review before publishing.,g,,unlisted
leahy,Leahy,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-LEAHY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/leahy-B-H-1.jpg,1,Leahy,false,Leahy,Imported product — review before publishing.,g,,unlisted
kiernan,Kiernan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-KIERNAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/kiernan-B-H.jpg,1,Kiernan,false,Kiernan,Imported product — review before publishing.,g,,unlisted
lynch,Lynch,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-LYNCH,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/lynch-B-H-1.jpg,1,Lynch,false,Lynch,Imported product — review before publishing.,g,,unlisted
malone,Malone,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MALONE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/malone-B-H.jpg,1,Malone,false,Malone,Imported product — review before publishing.,g,,unlisted
meara,Meara,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MEARA,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/meara-B-H.jpg,1,Meara,false,Meara,Imported product — review before publishing.,g,,unlisted
meehan,Meehan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MEEHAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/meehan-B-H.jpg,1,Meehan,false,Meehan,Imported product — review before publishing.,g,,unlisted
molloy,Molloy,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MOLLOY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/molloy-B-H.jpg,1,Molloy,false,Molloy,Imported product — review before publishing.,g,,unlisted
moloney,Moloney,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MOLONEY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/moloney-B-H.jpg,1,Moloney,false,Moloney,Imported product — review before publishing.,g,,unlisted
monahan,Monahan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MONAHAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/monahan-B-H.jpg,1,Monahan,false,Monahan,Imported product — review before publishing.,g,,unlisted
mullen,Mullen,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MULLEN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/mullen-B-H.jpg,1,Mullen,false,Mullen,Imported product — review before publishing.,g,,unlisted
mcauley,McAuley,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MCAULEY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/mcauley-B-H.jpg,1,McAuley,false,McAuley,Imported product — review before publishing.,g,,unlisted
mccann,McCann,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-MCCANN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/mccann-BH.jpg,1,McCann,false,McCann,Imported product — review before publishing.,g,,unlisted
oboyle,Oboyle,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-OBOYLE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/o-boyle-B-H.jpg,1,Oboyle,false,Oboyle,Imported product — review before publishing.,g,,unlisted
odoherty,Odoherty,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-ODOHERTY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/o-doherty-B-H.jpg,1,Odoherty,false,Odoherty,Imported product — review before publishing.,g,,unlisted
odonohoe,Odonohoe,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-ODONOHOE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/odonohoe-B-H.jpg,1,Odonohoe,false,Odonohoe,Imported product — review before publishing.,g,,unlisted
oduffy,Oduffy,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-ODUFFY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/o-duffy-B-H.jpg,1,Oduffy,false,Oduffy,Imported product — review before publishing.,g,,unlisted
oriordan,Oriordan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-ORIORDAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/o-riordan-B-H.jpg,1,Oriordan,false,Oriordan,Imported product — review before publishing.,g,,unlisted
reid,Reid,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-REID,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/reid-B-H.jpg,1,Reid,false,Reid,Imported product — review before publishing.,g,,unlisted
